Birthyear;A04_A_M;A04_A_F
1900;14;18
1901;14;18
1902;14;18
1903;14;17
1904;14;17
1905;14;17
1906;14;17
1907;13;17
1908;13;16
1909;13;16
1910;13;16
1911;12;16
1912;12;16
1913;12;16
1914;11;16
1915;11;16
1916;11;16
1917;11;16
1918;11;16
1919;11;16
1920;11;16
1921;10;16
1922;10;16
1923;10;16
1924;10;16
1925;10;16
1926;10;16
1927;10;16
1928;10;16
1929;10;16
1930;10;16
1931;10;15
1932;10;15
1933;10;15
1934;10;15
1935;9;15
1936;9;15
1937;9;15
1938;9;15
1939;9;14
1940;9;14
1941;9;14
1942;9;14
1943;9;14
1944;8;14
1945;8;14
1946;8;13
1947;8;13
1948;8;13
1949;8;13
1950;8;13
1951;8;13
1952;7;12
1953;7;12
1954;7;12
1955;7;12
1956;7;12
1957;7;12
1958;7;11
1959;6;11
1960;6;11
1961;6;11
1962;6;11
1963;6;11
1964;6;10
1965;6;10
1966;6;10
1967;5;10
1968;5;10
1969;5;9
1970;5;9
1971;5;9
1972;5;9
1973;5;9
1974;4;9
1975;4;8
1976;4;8
1977;4;8
1978;4;8
1979;4;7
1980;4;7
1981;4;7
1982;3;7
1983;3;7
1984;3;6
1985;3;6
1986;3;6
1987;3;6
1988;3;5
1989;2;5
1990;2;5
1991;2;5
1992;2;4
1993;2;4
1994;2;4
1995;2;4
1996;2;4
1997;1;3
1998;1;3
1999;1;3
2000;1;3
2001;1;2
2002;1;2
2003;1;2
2004;0;2
2005;0;1
2006;0;1
2007;0;1
2008;0;1
2009;0;1
2010;0;0
2011;0;0
2012;0;0
2013;0;0
2014;0;0
2015;0;0
2016;0;0
2017;0;0
2018;0;0
2019;0;0
2020;0;0
2021;0;0
